
6,"Paige, Joshua",SO-2,Georgetown,20.99,BIG EAST Indoor Track & Field Championships,"Feb 24, 2023",NWI
7,"Tabois, Jadyn",JR-3,Iona,21.02,MAAC Indoor Track and Field Championships,"Feb 18, 2023",NWI
8,"Ward, Lance",SO-2,Harvard,21.07,Tiger Paw Invite,"Feb 10, 2023",NWI
9,"Ayorinde, Ibrahim",SR-4,Princeton,21.12,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",NWI
10,"Popelka, Logan",FR-1,Boston University,21.16,2023 Boston University Battle in Beantown,"Jan 21, 2023",NWI
11,"Lewis, Omari",SO-2,Liberty,21.19,ASUN Indoor Track & Field Championships,"Feb 24, 2023",NWI
12,"Gant, Joey",FR-1,Princeton,"21.20
#",Ivy League Heptagonal Indoor Track & Field Championships,"Feb 25, 2023",NWI
13,"Wright, Noxroy",JR-3,Coppin State,21.22,MEAC Indoor Track & Field Championships,"Feb 19, 2023",NWI
13,"Duncan, Daniel",JR-3,Princeton,21.22,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",NWI
15,"O'Brien, Joseph",JR-3,Connecticut,21.23,Boston University Scarlet and White Invite,"Feb 4, 2023",NWI
16,"Lapit, Gregory",JR-3,Harvard,21.28,University of Massachusetts Flagship Indoor Invitational,"Jan 15, 2023",NWI
16,"Balthazar, Chris",SR-4,Columbia,21.28,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",NWI
16,"Carter, Isaiah",JR-3,George Mason,"21.28
#",Atlantic 10 Indoor Track & Field Championships,"Feb 25, 2023",NWI
19,"McQueen, Greg",FR-1,Rutgers,21.32,Big Ten Indoor Championships,"Feb 24, 2023",NWI
20,"Exilhomme, Ethan",SO-2,Northeastern,21.33,CAA Indoor Track & Field Championships,"Feb 22, 2023",NWI
21,"Byrd, Jermanie",SR-4,Howard,21.34,2023 Indoor IC4A/ECAC,"Mar 3, 2023",NWI
22,"Drakes, Carl",JR-3,Coppin State,21.36,Fastrack National Invitational,"Feb 10, 2023",NWI
23,"Guillaume, Jacques",SO-2,Navy,21.37,Patriot League Indoor Track & Field Championships,"Feb 25, 2023",NWI
23,"Ricketts , Malik",,Fairleigh Dickinson,21.37,Youree Spence-Garcia Invitational,"Dec 3, 2022",1.7
25,"Young, Jarrett",SO-2,Rhode Island,"21.39
#",Atlantic 10 Indoor Track & Field Championships,"Feb 25, 2023",NWI
25,"Sweeney, Noah",SR-4,Northeastern,21.39,CAA Indoor Track & Field Championships,"Feb 22, 2023",NWI
25,"Christian , Leon",SO-2,Boston University,"21.39
@",Don Kirby Elite Invitational,"Feb 10, 2023",NWI
25,"Kent, Nathan",FR-1,Navy,21.39,Patriot League Indoor Track & Field Championships,"Feb 25, 2023",NWI
29,"Ventura, Wellington",SR-4,Connecticut,21.41,2023 Boston University Battle in Beantown,"Jan 21, 2023",NWI
29,"Watkins, Jahlanhnee",SR-4,Maryland-Eastern Shore,21.41,Fastrack National Invitational,"Feb 10, 2023",NWI
31,"Kao, Jacob",SO-2,Yale,21.45,2023 Boston University David Hemery Valentine Invite,"Feb 10, 2023",NWI
31,"Onilogbo, Michael",FR-1,Boston University,21.45,2023 Boston University John Thomas Terrier Classic,"Jan 27, 2023",NWI
31,"Leigh, Jacob",JR-3,NJIT,21.45,2023 Indoor IC4A/ECAC,"Mar 3, 2023",NWI
34,"Couture, Cory",JR-3,Merrimack,21.46,NEC Indoor Track & Field Championships,"Feb 19, 2023",NWI
34,"O'Connor, Jolon",JR-3,Rhode Island,21.46,2023 Indoor IC4A/ECAC,"Mar 3, 2023",NWI
36,"Holt, Christopher",SO-2,Adelphi,21.47,Northeast-10 Indoor Track & Field Championships,"Feb 16, 2023",NWI
37,"Hollier, Sethan",SR-4,Navy,21.49,Patriot League Indoor Track & Field Championships,"Feb 25, 2023",NWI
37,"Charles, Todd",SR-4,Mount St. Mary's,21.49,2023 Indoor IC4A/ECAC,"Mar 3, 2023",NWI
37,"Jackson, Dakota",SO-2,Boston University,21.49,Patriot League Indoor Track & Field Championships,"Feb 25, 2023",NWI
