Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
4,"Bowe, Ethan",FR-1,Wis.-Superior,23.18,SMU Cardinal Invitational,"Apr 15, 2023",+0.0,200 Meters,UMAC Outdoor Performance List,Men
5,"Pearson, Steven",JR-3,Wis.-Superior,23.43,Rex Foster Twilight,"Apr 7, 2023",2.4,200 Meters,UMAC Outdoor Performance List,Men
6,"Shevchuk, John",SO-2,Northwestern (Minn.),23.52,SMU Cardinal Invitational,"Apr 15, 2023",-0.9,200 Meters,UMAC Outdoor Performance List,Men
7,"Kroells, Garrett",FR-1,Wis.-Superior,23.86,Rex Foster Twilight,"Apr 7, 2023",2.6,200 Meters,UMAC Outdoor Performance List,Men
8,"Omeja , Jackson",SO-2,North Central (Minn.),24.01,Bethel Invitational,"Apr 15, 2023",-0.9,200 Meters,UMAC Outdoor Performance List,Men
9,"Vandergon, Duncan",SO-2,Minnesota-Morris,24.06,St Thomas Tomcat Invitational,"Apr 7, 2023",0.4,200 Meters,UMAC Outdoor Performance List,Men
10,"Hillmer, Matthew",SO-2,Martin Luther,24.34,SMU Cardinal Invitational,"Apr 15, 2023",-1.2,200 Meters,UMAC Outdoor Performance List,Men
11,"Diakite, Sean",FR-1,Minnesota-Morris,24.74,SMU Cardinal Invitational,"Apr 15, 2023",-1.2,200 Meters,UMAC Outdoor Performance List,Men
12,"DeFoe, Ethan",FR-1,Wis.-Superior,24.81,Rex Foster Twilight,"Apr 7, 2023",2.6,200 Meters,UMAC Outdoor Performance List,Men
13,"Rogers, Gauge",FR-1,Minnesota-Morris,24.87,SMU Cardinal Invitational,"Apr 15, 2023",-1.2,200 Meters,UMAC Outdoor Performance List,Men
14,"Juaire, Nehemiah",SO-2,North Central (Minn.),24.91,Bethel Invitational,"Apr 15, 2023",-0.4,200 Meters,UMAC Outdoor Performance List,Men
15,"Felsing, Joshua",FR-1,Martin Luther,24.95,SMU Cardinal Invitational,"Apr 15, 2023",-1.2,200 Meters,UMAC Outdoor Performance List,Men
16,"Lange, Erik",JR-3,North Central (Minn.),24.96,St Thomas Tomcat Invitational,"Apr 7, 2023",0.7,200 Meters,UMAC Outdoor Performance List,Men
17,"Fronk, Nathan",FR-1,Minnesota-Morris,25.75,SMU Cardinal Invitational,"Apr 15, 2023",-0.1,200 Meters,UMAC Outdoor Performance List,Men
18,"Holstad, Matthew",FR-1,North Central (Minn.),25.91,Bethel Invitational,"Apr 15, 2023",-0.4,200 Meters,UMAC Outdoor Performance List,Men
19,"Longua, James",SO-2,Minnesota-Morris,26.05,SMU Cardinal Invitational,"Apr 15, 2023",-1.2,200 Meters,UMAC Outdoor Performance List,Men
20,"Johnson, Seth  E.",JR-3,Crown,26.13,Bethel Invitational,"Apr 15, 2023",-1.8,200 Meters,UMAC Outdoor Performance List,Men
21,"Hanson, Isaac",FR-1,Wis.-Superior,26.47,SMU Cardinal Invitational,"Apr 15, 2023",-1.2,200 Meters,UMAC Outdoor Performance List,Men
22,"Van Camp, Cody",FR-1,Wis.-Superior,26.88,SMU Cardinal Invitational,"Apr 15, 2023",-0.1,200 Meters,UMAC Outdoor Performance List,Men
23,"Laumb, Evan",SO-2,Crown,27.73,Bethel Invitational,"Apr 15, 2023",-1.4,200 Meters,UMAC Outdoor Performance List,Men
24,"Pliego Flores, Darcy",FR-1,North Central (Minn.),28.14,St Thomas Tomcat Invitational,"Apr 7, 2023",0.7,200 Meters,UMAC Outdoor Performance List,Men
25,"Azeltine, Ryan",FR-1,North Central (Minn.),28.51,Bethel Invitational,"Apr 15, 2023",-1.4,200 Meters,UMAC Outdoor Performance List,Men
1,"Trucksess, Deanna",SO-2,Northwestern (Minn.),27.00,SMU Cardinal Invitational,"Apr 15, 2023",-1.7,200 Meters,UMAC Outdoor Performance List,Women
2,"Claude, Colleen",FR-1,Wis.-Superior,27.46,SMU Cardinal Invitational,"Apr 15, 2023",-1.7,200 Meters,UMAC Outdoor Performance List,Women
3,"Lynch, MacKenzie",SR-4,Martin Luther,28.07,SMU Cardinal Invitational,"Apr 15, 2023",-0.9,200 Meters,UMAC Outdoor Performance List,Women
4,"Howe, Abby",FR-1,North Central (Minn.),28.59,St Thomas Tomcat Invitational,"Apr 7, 2023",1.7,200 Meters,UMAC Outdoor Performance List,Women
5,"Pankow, Maia",SO-2,Martin Luther,28.64,SMU Cardinal Invitational,"Apr 15, 2023",-0.9,200 Meters,UMAC Outdoor Performance List,Women
6,"Schmitz, Cora",FR-1,Wis.-Superior,28.80,SMU Cardinal Invitational,"Apr 15, 2023",-0.9,200 Meters,UMAC Outdoor Performance List,Women
7,"Anderson Sanchez, Anna",JR-3,Crown,29.00,Bethel Invitational,"Apr 15, 2023",-0.5,200 Meters,UMAC Outdoor Performance List,Women
8,"Johnson, Esther",FR-1,North Central (Minn.),29.43,Bethel Invitational,"Apr 15, 2023",-0.9,200 Meters,UMAC Outdoor Performance List,Women
9,"Brueckner, Ruth",FR-1,Crown,29.50,Bethel Invitational,"Apr 15, 2023",-0.5,200 Meters,UMAC Outdoor Performance List,Women
10,"Diekmann, Paige",FR-1,Minnesota-Morris,29.60,SMU Cardinal Invitational,"Apr 15, 2023",-1.1,200 Meters,UMAC Outdoor Performance List,Women
11,"Warden, Winona",FR-1,Northwestern (Minn.),30.03,SMU Cardinal Invitational,"Apr 15, 2023",-1.1,200 Meters,UMAC Outdoor Performance List,Women
12,"Bader, Sidney",FR-1,Wis.-Superior,30.20,SMU Cardinal Invitational,"Apr 15, 2023",-0.9,200 Meters,UMAC Outdoor Performance List,Women
13,"Schroeder, Lydia",FR-1,North Central (Minn.),30.58,St Thomas Tomcat Invitational,"Apr 7, 2023",1.7,200 Meters,UMAC Outdoor Performance List,Women
14,"Smith, Ann",SO-2,North Central (Minn.),30.77,St Thomas Tomcat Invitational,"Apr 7, 2023",0.4,200 Meters,UMAC Outdoor Performance List,Women
15,"Miller, Nakima",SO-2,North Central (Minn.),31.24,Bethel Invitational,"Apr 15, 2023",-1.6,200 Meters,UMAC Outdoor Performance List,Women
16,"Kraemer, Kat",FR-1,Minnesota-Morris,31.40,St Thomas Tomcat Invitational,"Apr 7, 2023",0.4,200 Meters,UMAC Outdoor Performance List,Women
17,"Zaccaria, Angela",SO-2,Bethany Lutheran,32.70,Norse Invite,"Apr 15, 2023",+0.0,200 Meters,UMAC Outdoor Performance List,Women
18,"DeRosa, Kendra",SR-4,Minnesota-Morris,32.91,SMU Cardinal Invitational,"Apr 15, 2023",-1.7,200 Meters,UMAC Outdoor Performance List,Women
19,"Anderson, Miriam",SO-2,North Central (Minn.),34.50,Bethel Invitational,"Apr 15, 2023",-1.6,200 Meters,UMAC Outdoor Performance List,Women
20,"Kramer, Daisy",FR-1,North Central (Minn.),39.47,St Thomas Tomcat Invitational,"Apr 7, 2023",1.7,200 Meters,UMAC Outdoor Performance List,Women
1,"Matheson, Iain",SO-2,Wis.-Superior,51.14,SMU Cardinal Invitational,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Men
2,"Westimayer, Ethan",JR-3,Wis.-Superior,51.28,SMU Cardinal Invitational,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Men
3,"Pearson, Steven",JR-3,Wis.-Superior,53.38,SMU Cardinal Invitational,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Men
4,"Burgin, Derek",SO-2,North Central (Minn.),53.44,Bethel Invitational,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Men
5,"Kroells, Garrett",FR-1,Wis.-Superior,54.83,SMU Cardinal Invitational,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Men
6,"Lange, Erik",JR-3,North Central (Minn.),55.01,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Men
7,"Welch, Joshua",JR-3,Minnesota-Morris,55.84,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Men
8,"Felsing, Joshua",FR-1,Martin Luther,55.96,SMU Cardinal Invitational,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Men
9,"Diakite, Sean",FR-1,Minnesota-Morris,57.95,SMU Cardinal Invitational,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Men
10,"Holstad, Matthew",FR-1,North Central (Minn.),59.80,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Men
11,"Pliego Flores, Darcy",FR-1,North Central (Minn.),1:02.79,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Men
1,"Trucksess, Deanna",SO-2,Northwestern (Minn.),1:01.13,SMU Cardinal Invitational,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Women
2,"Claude, Colleen",FR-1,Wis.-Superior,1:02.52,SMU Cardinal Invitational,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Women
3,"Foley, Naomi",FR-1,Martin Luther,1:03.91,SMU Cardinal Invitational,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Women
4,"Lanes, Serena",SO-2,North Central (Minn.),1:04.27,Bethel Invitational,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Women
5,"Neuhart, Triniti",FR-1,Minnesota-Morris,1:04.81,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Women
6,"Johnson, Esther",FR-1,North Central (Minn.),1:04.86,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Women
7,"Hoppe, Cianna",JR-3,Bethany Lutheran,1:05.23,Norse Invite,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Women
8,"VanDenHeuvel, Macie",FR-1,Martin Luther,1:09.25,SMU Cardinal Invitational,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Women
9,"Diekmann, Paige",FR-1,Minnesota-Morris,1:10.76,SMU Cardinal Invitational,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Women
10,"Smith, Ann",SO-2,North Central (Minn.),1:10.82,Bethel Invitational,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Women
11,"Zaccaria, Angela",SO-2,Bethany Lutheran,1:15.45,Norse Invite,"Apr 15, 2023",NaN,400 Meters,UMAC Outdoor Performance List,Women
1,"Pausma, Nathan",SO-2,Martin Luther,2:00.74,SMU Cardinal Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Men
2,"Anderson, Jakin",SR-4,Bethany Lutheran,2:02.42,Norse Invite,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Men
3,"Shackelford, Rory",JR-3,Minnesota-Morris,2:02.45,SMU Cardinal Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Men
4,"Peterson, Gregory",JR-3,Minnesota-Morris,2:03.26,SMU Cardinal Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Men
5,"Carlson, Austin",SO-2,Crown,2:06.13,Bethel Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Men
6,"Knopp, Joel",SR-4,Minnesota-Morris,2:06.79,SMU Cardinal Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Men
7,"Strukel, Grant",JR-3,Minnesota-Morris,2:07.78,SMU Cardinal Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Men
8,"Hagen, Josh",SO-2,Crown,2:15.12,Bethel Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Men
9,"Johnson, Kieran",SO-2,Wis.-Superior,2:19.95,SMU Cardinal Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Men
10,"Herr-Zielke, Michael",SO-2,North Central (Minn.),2:20.59,Bethel Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Men
11,"Salonek, Eli",FR-1,North Central (Minn.),2:27.82,Bethel Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Men
1,"Anderson Sanchez, Anna",JR-3,Crown,2:30.52,Bethel Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
2,"Gabb, Margaret",SR-4,Martin Luther,2:30.92,SMU Cardinal Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
3,"Foley, Naomi",FR-1,Martin Luther,2:32.58,SMU Cardinal Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
4,"Wright, Priscilla",FR-1,Northwestern (Minn.),2:34.97,SMU Cardinal Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
5,"Hoppe, Cianna",JR-3,Bethany Lutheran,2:35.43,Kansas Relays,"Apr 13, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
6,"Brueckner, Ruth",FR-1,Crown,2:38.77,Bethel Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
7,"Nelson, Abby",JR-3,Bethany Lutheran,2:39.30,Kansas Relays,"Apr 13, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
8,"Ringsmuth, Caroline",FR-1,Northwestern (Minn.),2:44.35,SMU Cardinal Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
9,"Hoaglund, Ilsa",SO-2,Minnesota-Morris,2:44.54,SMU Cardinal Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
10,"Hoaglund, Zoe",SO-2,Minnesota-Morris,2:49.21,SMU Cardinal Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
11,"Prieve, Taylor",SR-4,Minnesota-Morris,2:57.65,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
12,"Lund, Amelia",SR-4,Minnesota-Morris,2:59.34,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
13,"Hachmeister, Abby",SO-2,Minnesota-Morris,3:04.48,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
14,"Deichert, Anna",FR-1,North Central (Minn.),3:12.97,Bethel Invitational,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
15,"Montgomery, Callie",SO-2,Bethany Lutheran,3:23.07,Norse Invite,"Apr 15, 2023",NaN,800 Meters,UMAC Outdoor Performance List,Women
1,"Shackelford, Rory",JR-3,Minnesota-Morris,4:09.46,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Men
2,"Carlson, Austin",SO-2,Crown,4:13.27,Bethel Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Men
3,"Doherty, Aidan",SO-2,Wis.-Superior,4:19.04,Rex Foster Twilight,"Apr 7, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Men
4,"Schibbelhut, Micah",SO-2,Martin Luther,4:19.80,SMU Cardinal Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Men
5,"Peterson, Gregory",JR-3,Minnesota-Morris,4:20.45,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Men
6,"Butterfield, Michael",SO-2,Wis.-Superior,4:20.93,SMU Cardinal Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Men
7,"Collins, David",SO-2,Wis.-Superior,4:22.89,SMU Cardinal Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Men
8,"Knopp, Joel",SR-4,Minnesota-Morris,4:23.86,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Men
9,"Anderson, Jakin",SR-4,Bethany Lutheran,4:29.26,Kansas Relays,"Apr 13, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Men
10,"Zander, Joshua",JR-3,Martin Luther,4:32.48,SMU Cardinal Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Men
11,"Hagen, Josh",SO-2,Crown,4:43.54,Bethel Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Men
12,"Herr-Zielke, Michael",SO-2,North Central (Minn.),4:46.44,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Men
13,"Hufziger, Kevin",JR-3,Wis.-Superior,5:06.44,SMU Cardinal Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Men
14,"Azeltine, Ryan",FR-1,North Central (Minn.),5:09.03,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Men
1,"Habben, Maya",JR-3,Martin Luther,5:12.40,SMU Cardinal Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
2,"Barker, Halle",SO-2,Wis.-Superior,5:12.76,Rex Foster Twilight,"Apr 7, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
3,"Langerud, McKenna",SR-4,Minnesota-Morris,5:26.03,SMU Cardinal Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
4,"Merwin, Jordan",JR-3,Bethany Lutheran,5:27.70,Norse Invite,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
5,"Tobin, Kayla",JR-3,Bethany Lutheran,5:28.56,Kansas Relays,"Apr 13, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
6,"Nelson, Abby",JR-3,Bethany Lutheran,5:29.42,Norse Invite,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
7,"Hoaglund, Ilsa",SO-2,Minnesota-Morris,5:31.99,SMU Cardinal Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
8,"Hudella, Cora",FR-1,Wis.-Superior,5:32.76,Rex Foster Twilight,"Apr 7, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
9,"Kuhlman, Chloe",JR-3,Bethany Lutheran,5:33.73,Norse Invite,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
10,"Hoaglund, Zoe",SO-2,Minnesota-Morris,5:36.50,SMU Cardinal Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
11,"Boerner, Tea",SO-2,Wis.-Superior,5:39.12,Rex Foster Twilight,"Apr 7, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
12,"Ringsmuth, Caroline",FR-1,Northwestern (Minn.),5:39.73,SMU Cardinal Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
13,"Sovacool, Rachel",SO-2,Bethany Lutheran,5:59.36,Norse Invite,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
14,"Prieve, Taylor",SR-4,Minnesota-Morris,6:02.37,SMU Cardinal Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
15,"Hyland, Kayley",SO-2,North Central (Minn.),6:09.74,St Thomas Tomcat Invitational,"Apr 7, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
16,"Hachmeister, Abby",SO-2,Minnesota-Morris,6:18.47,SMU Cardinal Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
17,"Lund, Amelia",SR-4,Minnesota-Morris,6:21.95,SMU Cardinal Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
18,"Rethemeyer, Hannah",SO-2,Bethany Lutheran,6:28.52,Norse Invite,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
19,"Olson, Abbee",SO-2,Martin Luther,6:30.62,SMU Cardinal Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
20,"Fox, Katie",FR-1,North Central (Minn.),7:07.16,Bethel Invitational,"Apr 15, 2023",NaN,1500 Meters,UMAC Outdoor Performance List,Women
