Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
14,"Penta, Anthony",JR-3,Springfield,10.99,Springfield College Classic,"Apr 8, 2023",2.0,100 Meters,ECAC DIII Outdoor Performance List,Men
16,"Hadasz, Andrew",JR-3,Utica,11.01,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.2,100 Meters,ECAC DIII Outdoor Performance List,Men
16,"Coleman, Oral-Anthony",SO-2,McDaniel,11.01,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.4,100 Meters,ECAC DIII Outdoor Performance List,Men
18,"Frye, Sherrod",SR-4,Salisbury,11.02,2023 NSU Track & Field Invitational,"Apr 15, 2023",1.8,100 Meters,ECAC DIII Outdoor Performance List,Men
18,"Glover, Zion",JR-3,NYU,11.02,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",1.2,100 Meters,ECAC DIII Outdoor Performance List,Men
20,"Florczak, Nicholas",FR-1,Alfred State,11.06,Brockport Multi & Invitational,"Apr 14, 2023",0.5,100 Meters,ECAC DIII Outdoor Performance List,Men
21,"Elmogi, Ahmed",SO-2,Johns Hopkins,11.08,2023 Towson Spring Open,"Mar 31, 2023",0.6,100 Meters,ECAC DIII Outdoor Performance List,Men
22,"Dunbar, Kyle",JR-3,DeSales,11.09,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.9,100 Meters,ECAC DIII Outdoor Performance List,Men
23,"Knowles, Samuel",SO-2,Widener,11.10,WCU Bill Butler Invitational,"Apr 15, 2023",-1.0,100 Meters,ECAC DIII Outdoor Performance List,Men
24,"Hauf, William",SO-2,St. Lawrence,11.11,Saints Ice Broken Open,"Apr 1, 2023",4.7,100 Meters,ECAC DIII Outdoor Performance List,Men
25,"Brown, Brenden",JR-3,Springfield,11.12,Springfield College Classic,"Apr 8, 2023",2.0,100 Meters,ECAC DIII Outdoor Performance List,Men
25,"Cestaro, Anthony",FR-1,Washington & Jefferson,11.12,Bison Outdoor Classic,"Apr 14, 2023",-0.1,100 Meters,ECAC DIII Outdoor Performance List,Men
27,"Dole, Anik",JR-3,Springfield,11.13,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,ECAC DIII Outdoor Performance List,Men
27,"Ellington, Evan",JR-3,Hood,11.13,Bison Outdoor Classic,"Apr 14, 2023",1.4,100 Meters,ECAC DIII Outdoor Performance List,Men
29,"Zeigler, Noah",SO-2,Marywood,11.14,Misericordia Twilight 2023,"Apr 4, 2023",0.1,100 Meters,ECAC DIII Outdoor Performance List,Men
30,"Spicer, Alex",FR,Alfred,11.16,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.2,100 Meters,ECAC DIII Outdoor Performance List,Men
30,"Short, Jack",SO-2,Alvernia,11.16,Bison Outdoor Classic,"Apr 14, 2023",0.5,100 Meters,ECAC DIII Outdoor Performance List,Men
30,"Buhr, Owen",FR,Lebanon Valley,11.16,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.1,100 Meters,ECAC DIII Outdoor Performance List,Men
33,"Wilson, Vajon",JR-3,DeSales,11.19,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.9,100 Meters,ECAC DIII Outdoor Performance List,Men
33,"Martin, Kamden",SR-4,NYU,11.19,Ramapo College Track & Field Invitational,"Mar 31, 2023",+0.0,100 Meters,ECAC DIII Outdoor Performance List,Men
35,"Linder, Owen",SO-2,Lebanon Valley,11.20,40th Millersville Metrics,"Mar 31, 2023",1.7,100 Meters,ECAC DIII Outdoor Performance List,Men
35,"Flynn, Nolan",FR-1,Utica,11.20,Wesleyan Swanson Invite,"Mar 26, 2023",2.7,100 Meters,ECAC DIII Outdoor Performance List,Men
35,"Okuseinde, Tofunmi",FR-1,Hood,11.20,40th Millersville Metrics,"Mar 31, 2023",2.0,100 Meters,ECAC DIII Outdoor Performance List,Men
38,"Grauer, Logan",FR,Lebanon Valley,11.22,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.5,100 Meters,ECAC DIII Outdoor Performance List,Men
39,"Sims, Isaiah",SO-2,USMMA,11.23,Coach O Invitational,"Apr 2, 2023",1.3,100 Meters,ECAC DIII Outdoor Performance List,Men
39,"Armstrong, Elijah",FR-1,Bethany (W.V.),11.23,Bethany Invitational,"Mar 25, 2023",-0.8,100 Meters,ECAC DIII Outdoor Performance List,Men
41,"Rich, Thomas",JR-3,Carnegie Mellon,11.24,2023 Susquehanna Easter Invite,"Apr 8, 2023",2.2,100 Meters,ECAC DIII Outdoor Performance List,Men
42,"Mitchell, Alexander",FR-1,Grove City,11.25,Tomcat Invitational,"Apr 15, 2023",0.3,100 Meters,ECAC DIII Outdoor Performance List,Men
42,"Halkias, Alexander",SR-4,Carnegie Mellon,11.25,Carnegie Mellon Track & Field Invitational,"Mar 24, 2023",-0.6,100 Meters,ECAC DIII Outdoor Performance List,Men
42,"Markman, Rashawn",SO-2,Salisbury,11.25,2023 NSU Track & Field Invitational,"Apr 15, 2023",2.1,100 Meters,ECAC DIII Outdoor Performance List,Men
45,"Soubik, Branden",SO-2,Gwynedd-Mercy,11.26,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.9,100 Meters,ECAC DIII Outdoor Performance List,Men
46,"Stevenson, Joshua",FR-1,Goucher,11.27,Mid-Atlantic Track & Field JUCO Invitational,"Apr 15, 2023",-0.4,100 Meters,ECAC DIII Outdoor Performance List,Men
47,"Fenderson, Kenyon",SR-4,Ramapo,11.28,Ramapo College Track & Field Invitational,"Mar 31, 2023",+0.0,100 Meters,ECAC DIII Outdoor Performance List,Men
48,"Walter, Derek",JR-3,Alfred State,11.29,2023 Susquehanna Easter Invite,"Apr 8, 2023",3.0,100 Meters,ECAC DIII Outdoor Performance List,Men
49,"Isaac, Kip",FR-1,Misericordia,11.30,Misericordia Twilight 2023,"Apr 4, 2023",0.1,100 Meters,ECAC DIII Outdoor Performance List,Men
49,"Garcia, Jason",JR-3,New Jersey City,11.30,Dennis Craddock Coaches Classic,"Apr 14, 2023",1.7,100 Meters,ECAC DIII Outdoor Performance List,Men
49,"Roney, Zachary",SO-2,Johns Hopkins,11.30,2023 Towson Spring Open,"Mar 31, 2023",3.6,100 Meters,ECAC DIII Outdoor Performance List,Men
52,"Berner, Logan",JR-3,DeSales,11.31,2023 Messiah Multi/Invitational,"Apr 13, 2023",+0.0,100 Meters,ECAC DIII Outdoor Performance List,Men
52,"Amilcar, Rendys",JR-3,Rutgers-Newark,11.31,Alan Connie Shamrock Invitational,"Mar 16, 2023",4.2,100 Meters,ECAC DIII Outdoor Performance List,Men
52,"Ashton, Gareth",SO-2,Gallaudet,11.31,Blue & Silver Challenge,"Mar 25, 2023",-1.6,100 Meters,ECAC DIII Outdoor Performance List,Men
52,"Krigman, Danny",FR-1,Brandeis,11.31,2023 UMass-Lowell Invitational,"Mar 24, 2023",0.6,100 Meters,ECAC DIII Outdoor Performance List,Men
52,"Kramer, Ryan",JR-3,Salisbury,11.31,2023 NSU Track & Field Invitational,"Apr 15, 2023",2.1,100 Meters,ECAC DIII Outdoor Performance List,Men
57,"Hitchcock, Trevor",JR-3,Muhlenberg,11.32,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.2,100 Meters,ECAC DIII Outdoor Performance List,Men
58,"Lingley, Dante",SO-2,Springfield,11.33,SILFEN INVITATIONAL 2023,"Apr 14, 2023",+0.0,100 Meters,ECAC DIII Outdoor Performance List,Men
58,"Garin, Verne",SR-4,Carnegie Mellon,11.33,2023 Carnegie Mellon Last Chance Meet,"Apr 13, 2023",-0.7,100 Meters,ECAC DIII Outdoor Performance List,Men
58,"Stello, Antonio",JR-3,PSU-Behrend,11.33,Behrend Track and Field Invite 2023,"Apr 16, 2023",0.4,100 Meters,ECAC DIII Outdoor Performance List,Men
61,"Wilson, Colby",SR-4,Springfield,11.34,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,ECAC DIII Outdoor Performance List,Men
62,"Peters, Neil",SO-2,Alfred,11.35,Geneseo Early Season Invitational,"Apr 2, 2023",1.2,100 Meters,ECAC DIII Outdoor Performance List,Men
63,"Easy, Kahil",JR-3,Marymount (Va.),11.36,Battleground Relays,"Apr 1, 2023",1.9,100 Meters,ECAC DIII Outdoor Performance List,Men
63,"McCulloch, Tyler",FR-1,DeSales,11.36,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.9,100 Meters,ECAC DIII Outdoor Performance List,Men
63,"Henke, David",SO-2,Springfield,11.36,SILFEN INVITATIONAL 2023,"Apr 14, 2023",+0.0,100 Meters,ECAC DIII Outdoor Performance List,Men
63,"Worley, Darnell",JR-3,Vassar,11.36,Vassar April Invitational 2023,"Apr 7, 2023",0.4,100 Meters,ECAC DIII Outdoor Performance List,Men
67,"Dunlap, Gabe",JR-3,Grove City,11.37,Bison Outdoor Classic,"Apr 14, 2023",1.4,100 Meters,ECAC DIII Outdoor Performance List,Men
67,"Eldridge, Christian",FR-1,Stevenson,11.37,Blue & Gold Goucher Classic,"Mar 24, 2023",-1.9,100 Meters,ECAC DIII Outdoor Performance List,Men
67,"Sabo, Alex",SO-2,Lebanon Valley,11.37,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.2,100 Meters,ECAC DIII Outdoor Performance List,Men
67,"Trimboli, Timothy",FR,Alfred,11.37,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.2,100 Meters,ECAC DIII Outdoor Performance List,Men
71,"Castro, Joshua",SO-2,Muhlenberg,11.38,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.2,100 Meters,ECAC DIII Outdoor Performance List,Men
71,"Johnson, Trey",FR-1,Gallaudet,11.38,Galludet Bison Classic,"Apr 8, 2023",2.2,100 Meters,ECAC DIII Outdoor Performance List,Men
71,"Battle, Jeremiah",JR-3,Stevenson,11.38,2023 Messiah Multi/Invitational,"Apr 13, 2023",-0.7,100 Meters,ECAC DIII Outdoor Performance List,Men
74,"Cruz, Juan",FR-1,New Jersey City,11.39,Dennis Craddock Coaches Classic,"Apr 14, 2023",2.1,100 Meters,ECAC DIII Outdoor Performance List,Men
74,"McGlothin, Qujuan",JR-3,Bethany (W.V.),11.39,Myrtle Beach Collegiate Challenge,"Mar 10, 2023",1.8,100 Meters,ECAC DIII Outdoor Performance List,Men
1,"Dwah, Gbarper",SO-2,Ramapo,12.03,Ramapo College Track & Field Invitational,"Mar 31, 2023",0.1,100 Meters,ECAC DIII Outdoor Performance List,Women
2,"Phillips, Lauren",SO-2,Johns Hopkins,12.14,2023 Towson Spring Open,"Mar 31, 2023",0.1,100 Meters,ECAC DIII Outdoor Performance List,Women
3,"Gore, Jayla",FR-1,Widener,12.16,WCU Golden Ram Invitational,"Apr 8, 2023",+0.0,100 Meters,ECAC DIII Outdoor Performance List,Women
4,"Muzzarelli, Maria",SO-2,Widener,12.25,WCU Golden Ram Invitational,"Apr 8, 2023",+0.0,100 Meters,ECAC DIII Outdoor Performance List,Women
5,"Gray, Leah",JR-3,PSU-Harrisburg,12.28,40th Millersville Metrics,"Mar 31, 2023",3.4,100 Meters,ECAC DIII Outdoor Performance List,Women
6,"Rudolph, Emma",SR-4,Westminster (Pa.),12.39,Alan Connie Shamrock Invitational,"Mar 16, 2023",2.9,100 Meters,ECAC DIII Outdoor Performance List,Women
7,"Giordani, Samantha",SR-4,Carnegie Mellon,12.42,2023 Carnegie Mellon Last Chance Meet,"Apr 13, 2023",-1.4,100 Meters,ECAC DIII Outdoor Performance List,Women
8,"Conerly, Isre'al",SR-4,NYU,12.45,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",2.8,100 Meters,ECAC DIII Outdoor Performance List,Women
8,"Francis, Traci",SO-2,Vassar,12.45,Alan Connie Shamrock Invitational,"Mar 16, 2023",3.8,100 Meters,ECAC DIII Outdoor Performance List,Women
10,"Andersen, Gwendolyn",JR-3,Springfield,12.47,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.6,100 Meters,ECAC DIII Outdoor Performance List,Women
11,"Fatigati, Jessica",JR-3,Westminster (Pa.),12.48,Bethany Invitational,"Mar 25, 2023",2.6,100 Meters,ECAC DIII Outdoor Performance List,Women
12,"Reid, Summer",SO-2,NYU,12.49,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",2.8,100 Meters,ECAC DIII Outdoor Performance List,Women
13,"Diffenderfer, Alyssa",JR,Lebanon Valley,12.51,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.6,100 Meters,ECAC DIII Outdoor Performance List,Women
14,"Vezzosi, Emma",SR-4,Grove City,12.61,Dave Labor Invitational,"Mar 31, 2023",2.8,100 Meters,ECAC DIII Outdoor Performance List,Women
15,"Brown, Stephanie",JR-3,Springfield,12.64,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,ECAC DIII Outdoor Performance List,Women
16,"Kadiri, Victoria",SO-2,Johns Hopkins,12.65,Bison Outdoor Classic,"Apr 14, 2023",0.4,100 Meters,ECAC DIII Outdoor Performance List,Women
17,"Gerdes, Abigail",JR-3,Johns Hopkins,12.68,George Mason Ebanks Invitational,"Apr 7, 2023",3.1,100 Meters,ECAC DIII Outdoor Performance List,Women
18,"Roper, Breyanna",JR-3,DeSales,12.69,Muhlenberg Outdoor Invitational,"Apr 1, 2023",3.9,100 Meters,ECAC DIII Outdoor Performance List,Women
19,"Yaskovic, Meredith",SO-2,Ramapo,12.70,Mets Outdoor Track & Field Championships,"Apr 8, 2023",-0.8,100 Meters,ECAC DIII Outdoor Performance List,Women
19,"Novak, Ava",JR-3,Vassar,12.70,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",4.4,100 Meters,ECAC DIII Outdoor Performance List,Women
21,"Mix, Mackenzie",SO-2,Utica,12.71,2023 Hamilton College Continental Invitational,"Apr 1, 2023",2.1,100 Meters,ECAC DIII Outdoor Performance List,Women
22,"Klimov, Mirra",FR-1,Johns Hopkins,12.80,Bison Outdoor Classic,"Apr 14, 2023",0.5,100 Meters,ECAC DIII Outdoor Performance List,Women
23,"Bakare, Tahira",JR-3,Goucher,12.85,Emory Spring Break Classic 2023,"Mar 17, 2023",1.4,100 Meters,ECAC DIII Outdoor Performance List,Women
24,"Forvil, Karia",FR-1,Salisbury,12.88,Alan Connie Shamrock Invitational,"Mar 16, 2023",2.9,100 Meters,ECAC DIII Outdoor Performance List,Women
24,"Radcliffe, Abigail",JR-3,DeSales,12.88,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.8,100 Meters,ECAC DIII Outdoor Performance List,Women
24,"McNeil, Alexxis",JR-3,Farmingdale St.,12.88,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,ECAC DIII Outdoor Performance List,Women
27,"Tang, Ashley",JR-3,Johns Hopkins,12.89,George Mason Ebanks Invitational,"Apr 7, 2023",2.5,100 Meters,ECAC DIII Outdoor Performance List,Women
27,"Perez-Fry, Lola",SR-4,Vassar,12.89,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,ECAC DIII Outdoor Performance List,Women
27,"Haack, Marlyse",FR-1,Salisbury,12.89,2023 NSU Track & Field Invitational,"Apr 15, 2023",2.4,100 Meters,ECAC DIII Outdoor Performance List,Women
30,"Signou, Agnes",JR-3,Marymount (Va.),12.90,Battleground Relays,"Apr 1, 2023",+0.0,100 Meters,ECAC DIII Outdoor Performance List,Women
31,"Igwe, Chidimma",JR-3,Rutgers-Newark,12.91,Stockton Invite,"Mar 25, 2023",0.7,100 Meters,ECAC DIII Outdoor Performance List,Women
32,"Doherty, Kaitlyn",FR-1,Springfield,12.92,Springfield College Classic,"Apr 8, 2023",1.7,100 Meters,ECAC DIII Outdoor Performance List,Women
32,"Zaeske, Anna",SO-2,Johns Hopkins,12.92,2023 Towson Spring Open,"Mar 31, 2023",1.8,100 Meters,ECAC DIII Outdoor Performance List,Women
34,"Castagnier, Hayley",JR-3,St. Lawrence,12.93,Saints Ice Broken Open,"Apr 1, 2023",4.9,100 Meters,ECAC DIII Outdoor Performance List,Women
35,"Hill, Mia",FR-1,Salisbury,12.94,2023 Lloyd Sigler Spring Meet,"Mar 4, 2023",2.9,100 Meters,ECAC DIII Outdoor Performance List,Women
35,"Sujitno, Siena",JR-3,Pratt Institute,12.94,The Big Hurt,"Apr 1, 2023",0.9,100 Meters,ECAC DIII Outdoor Performance List,Women
35,"Gallina, Anna",JR,Goucher,12.94,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.6,100 Meters,ECAC DIII Outdoor Performance List,Women
38,"Barr, Kelly",FR-1,Widener,12.95,WCU Bill Butler Invitational,"Apr 15, 2023",-0.2,100 Meters,ECAC DIII Outdoor Performance List,Women
39,"Hunyara, Tori",FR-1,Lebanon Valley,12.96,40th Millersville Metrics,"Mar 31, 2023",3.1,100 Meters,ECAC DIII Outdoor Performance List,Women
40,"Massillon, Grace",SO-2,Johns Hopkins,12.98,2023 Towson Spring Open,"Mar 31, 2023",0.7,100 Meters,ECAC DIII Outdoor Performance List,Women
40,"Hiltunen, Devin",SR-4,Brandeis,12.98,Regis Spring Classic - 2023,"Apr 6, 2023",0.1,100 Meters,ECAC DIII Outdoor Performance List,Women
42,"Meade, Laura",SR-4,Utica,13.03,Utica Pioneer Spring Invite,"Apr 7, 2023",+0.0,100 Meters,ECAC DIII Outdoor Performance List,Women
43,"Conley, Madison",JR-3,Westminster (Pa.),13.04,Bethany Invitational,"Mar 25, 2023",-1.0,100 Meters,ECAC DIII Outdoor Performance List,Women
43,"Ward, Lilah",SO-2,SUNY Cobleskill,13.04,Cortland Upstate Alternative,"Apr 15, 2023",2.6,100 Meters,ECAC DIII Outdoor Performance List,Women
43,"Morgan, Katie",SO-2,McDaniel,13.04,2023 Messiah Multi/Invitational,"Apr 13, 2023",-0.5,100 Meters,ECAC DIII Outdoor Performance List,Women
46,"Berkheimer, Darrian",SO-2,Lebanon Valley,13.05,40th Millersville Metrics,"Mar 31, 2023",3.1,100 Meters,ECAC DIII Outdoor Performance List,Women
46,"Kepler, Hannah",FR-1,Stevenson,13.05,Blue & Gold Goucher Classic,"Mar 24, 2023",-1.3,100 Meters,ECAC DIII Outdoor Performance List,Women
46,"Kappeler, Madison",SO-2,PSU-Behrend,13.05,2023 Mount Union John Homon Open,"Apr 6, 2023",3.2,100 Meters,ECAC DIII Outdoor Performance List,Women
49,"Eu, Jamie",FR-1,Vassar,13.06,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",2.4,100 Meters,ECAC DIII Outdoor Performance List,Women
49,"Walshaw-Wertz, Meadow",SO,Juniata,13.06,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.6,100 Meters,ECAC DIII Outdoor Performance List,Women
51,"Rose, Michaela",JR-3,Waynesburg,13.07,Tomcat Invitational,"Apr 15, 2023",1.1,100 Meters,ECAC DIII Outdoor Performance List,Women
52,"Rando, Anna",FR-1,McDaniel,13.10,Galludet Bison Classic,"Apr 8, 2023",2.6,100 Meters,ECAC DIII Outdoor Performance List,Women
53,"Young, Lamya",JR-3,New Jersey City,13.11,Dennis Craddock Coaches Classic,"Apr 14, 2023",0.5,100 Meters,ECAC DIII Outdoor Performance List,Women
53,"Wang, Claire",FR-1,Johns Hopkins,13.11,George Mason Ebanks Invitational,"Apr 7, 2023",2.5,100 Meters,ECAC DIII Outdoor Performance List,Women
55,"Spila, Anne",SO-2,Alfred,13.15,Geneseo Early Season Invitational,"Apr 2, 2023",1.6,100 Meters,ECAC DIII Outdoor Performance List,Women
55,"Bidgell, Angel",JR-3,McDaniel,13.15,40th Millersville Metrics,"Mar 31, 2023",3.1,100 Meters,ECAC DIII Outdoor Performance List,Women
55,"Edwards, Lawery",FR-1,Alfred State,13.15,Brockport Multi & Invitational,"Apr 14, 2023",2.3,100 Meters,ECAC DIII Outdoor Performance List,Women
58,"Byrd, Brya",SO-2,Rutgers-Newark,13.16,Alan Connie Shamrock Invitational,"Mar 16, 2023",2.4,100 Meters,ECAC DIII Outdoor Performance List,Women
59,"Wilson, Jasmine",JR-3,Stevenson,13.17,Blue & Gold Goucher Classic,"Mar 24, 2023",-1.3,100 Meters,ECAC DIII Outdoor Performance List,Women
59,"Alper, Megan",JR,Alfred,13.17,2023 Messiah Multi/Invitational,"Apr 13, 2023",0.5,100 Meters,ECAC DIII Outdoor Performance List,Women
61,"Young, Lina",FR-1,Alfred,13.19,Geneseo Early Season Invitational,"Apr 2, 2023",0.9,100 Meters,ECAC DIII Outdoor Performance List,Women
61,"Simione, Claudia",SO-2,Utica,13.19,Wesleyan Swanson Invite,"Mar 26, 2023",2.8,100 Meters,ECAC DIII Outdoor Performance List,Women
61,"Cole, Madeline",JR-3,Alfred State,13.19,Brockport Multi & Invitational,"Apr 14, 2023",2.3,100 Meters,ECAC DIII Outdoor Performance List,Women
61,"Bednarek, Lindsay",FR-1,DeSales,13.19,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.8,100 Meters,ECAC DIII Outdoor Performance List,Women
65,"Akindele, Lola",FR-1,NYU,13.20,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",1.8,100 Meters,ECAC DIII Outdoor Performance List,Women
66,"Stroup, Anna",SO-2,Washington & Jefferson,13.22,Bison Outdoor Classic,"Apr 14, 2023",-0.7,100 Meters,ECAC DIII Outdoor Performance List,Women
67,"Davis, Breannda",JR-3,Westminster (Pa.),13.23,Bethany Invitational,"Mar 25, 2023",-1.0,100 Meters,ECAC DIII Outdoor Performance List,Women
67,"Hsu, Marissa",JR-3,Johns Hopkins,13.23,Bison Outdoor Classic,"Apr 14, 2023",-0.7,100 Meters,ECAC DIII Outdoor Performance List,Women
69,"Owodunni, Ola",SR-4,Carnegie Mellon,13.25,2023 Carnegie Mellon Last Chance Meet,"Apr 13, 2023",-0.1,100 Meters,ECAC DIII Outdoor Performance List,Women
69,"Brodie, Sanaa",FR-1,Rutgers-Newark,13.25,Middlesex College Invitational,"Apr 15, 2023",-0.2,100 Meters,ECAC DIII Outdoor Performance List,Women
71,"Collins, Gabrielle",SR-4,McDaniel,13.29,Galludet Bison Classic,"Apr 8, 2023",0.9,100 Meters,ECAC DIII Outdoor Performance List,Women
71,"Passley-Harris, Sydney",FR-1,Vassar,13.29,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",1.1,100 Meters,ECAC DIII Outdoor Performance List,Women
73,"Gilbert, Ianna",JR-3,Brandeis,13.30,Amherst College Spring Fling,"Apr 8, 2023",2.0,100 Meters,ECAC DIII Outdoor Performance List,Women
73,"Przybylski, Samantha",SR-4,Springfield,13.30,Springfield College Classic,"Apr 8, 2023",0.4,100 Meters,ECAC DIII Outdoor Performance List,Women
75,"Smith, Malinda",SR-4,Vassar,13.31,Vassar April Invitational 2023,"Apr 7, 2023",0.6,100 Meters,ECAC DIII Outdoor Performance List,Women
1,"Traore, Cheickna",SR-4,Ramapo,20.49,Hurricane Invitational,"Mar 17, 2023",1.8,200 Meters,ECAC DIII Outdoor Performance List,Men
2,"Gregory, Eric",JR-3,Gallaudet,20.90,Galludet Bison Classic,"Apr 8, 2023",2.9,200 Meters,ECAC DIII Outdoor Performance List,Men
3,"Etienne, Dave",SR-4,New Jersey City,21.47,Dennis Craddock Coaches Classic,"Apr 14, 2023",2.3,200 Meters,ECAC DIII Outdoor Performance List,Men
4,"Summers, Cameron",SR-4,Stevenson,21.67,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.1,200 Meters,ECAC DIII Outdoor Performance List,Men
5,"Smith, Kai",FR-1,Salisbury,21.75,2023 NSU Track & Field Invitational,"Apr 15, 2023",2.7,200 Meters,ECAC DIII Outdoor Performance List,Men
6,"Halkias, Alexander",SR-4,Carnegie Mellon,21.88,Westminster Invitational 2023,"Apr 8, 2023",-0.1,200 Meters,ECAC DIII Outdoor Performance List,Men
6,"Beard, Ryan",SR-4,Westminster (Pa.),21.88,Grove City College Mini Invita,"Apr 5, 2023",+0.0,200 Meters,ECAC DIII Outdoor Performance List,Men
8,"Wilson, Vajon",JR-3,DeSales,21.95,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.1,200 Meters,ECAC DIII Outdoor Performance List,Men
9,"Frye, Sherrod",SR-4,Salisbury,21.97,2023 NSU Track & Field Invitational,"Apr 15, 2023",2.5,200 Meters,ECAC DIII Outdoor Performance List,Men
10,"Scott, Michael",SO-2,Springfield,21.99,Springfield College Classic,"Apr 8, 2023",2.0,200 Meters,ECAC DIII Outdoor Performance List,Men
11,"Weber, Evan",JR-3,Springfield,22.02,Springfield College Classic,"Apr 8, 2023",2.0,200 Meters,ECAC DIII Outdoor Performance List,Men
12,"Regan, Seth",JR-3,Springfield,22.04,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.7,200 Meters,ECAC DIII Outdoor Performance List,Men
12,"Hadasz, Andrew",JR-3,Utica,22.04,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.3,200 Meters,ECAC DIII Outdoor Performance List,Men
14,"Dunbar, Kyle",JR-3,DeSales,22.15,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.1,200 Meters,ECAC DIII Outdoor Performance List,Men
14,"Mins, Jamel",SO-2,Hood,22.15,Bison Outdoor Classic,"Apr 14, 2023",0.9,200 Meters,ECAC DIII Outdoor Performance List,Men
