Rank,Athlete(s),Year,Team,Time/Distance/Points,Meet,Meet Date,Wind,Event,Conference,Gender
14,"Weber, Evan",JR-3,Springfield,10.84,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,AARTFC Outdoor Performance List,Men
16,"Jensen, Lance",SO-2,SUNY Geneseo,10.85,RIT Invitational,"Apr 8, 2023",1.2,100 Meters,AARTFC Outdoor Performance List,Men
16,"Davis, Deron",FR-1,SUNY Delhi,10.85,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.2,100 Meters,AARTFC Outdoor Performance List,Men
18,"Ottenwalder, Aaron",FR-1,Brockport St.,10.94,Geneseo Early Season Invitational,"Apr 2, 2023",1.3,100 Meters,AARTFC Outdoor Performance List,Men
19,"Jantzi, Justin",JR-3,RIT,10.95,Bison Outdoor Classic,"Apr 14, 2023",1.2,100 Meters,AARTFC Outdoor Performance List,Men
19,"Cipriano, Jarod",SR-4,Misericordia,10.95,Misericordia Twilight 2023,"Apr 4, 2023",0.1,100 Meters,AARTFC Outdoor Performance List,Men
19,"McGrath, Tyler",FR-1,Buffalo State,10.95,Vertklasse,"Mar 31, 2023",3.7,100 Meters,AARTFC Outdoor Performance List,Men
19,"Jones, Aaron",SR-4,Cortland St.,10.95,Cortland Red Dragon Open,"Apr 8, 2023",0.4,100 Meters,AARTFC Outdoor Performance List,Men
19,"London, P.J.",SO-2,Rochester,10.95,Brockport Multi & Invitational,"Apr 14, 2023",0.5,100 Meters,AARTFC Outdoor Performance List,Men
24,"Latham, Carson",SO-2,Stockton,10.96,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,AARTFC Outdoor Performance List,Men
24,"Love, Shamar",SO-2,Rowan,10.96,2023 Danny Curran Invitational,"Mar 30, 2023",-0.3,100 Meters,AARTFC Outdoor Performance List,Men
24,"Gomez, Justin",JR-3,TCNJ,10.96,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",1.2,100 Meters,AARTFC Outdoor Performance List,Men
27,"Etienne, Dave",SR-4,New Jersey City,10.98,2023 TCNJ Invitational,"Apr 8, 2023",0.4,100 Meters,AARTFC Outdoor Performance List,Men
27,"Mins, Jamel",SO-2,Hood,10.98,Bison Outdoor Classic,"Apr 14, 2023",0.3,100 Meters,AARTFC Outdoor Performance List,Men
29,"Byrd, Masai",FR-1,Rowan,10.99,Oscar Moore Invitational 2023,"Apr 8, 2023",0.4,100 Meters,AARTFC Outdoor Performance List,Men
29,"Neuwirth, Russell",SR-4,Muhlenberg,10.99,Muhlenberg Outdoor Invitational,"Apr 1, 2023",2.2,100 Meters,AARTFC Outdoor Performance List,Men
29,"Penta, Anthony",JR-3,Springfield,10.99,Springfield College Classic,"Apr 8, 2023",2.0,100 Meters,AARTFC Outdoor Performance List,Men
32,"Hadasz, Andrew",JR-3,Utica,11.01,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.2,100 Meters,AARTFC Outdoor Performance List,Men
33,"Glover, Zion",JR-3,NYU,11.02,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",1.2,100 Meters,AARTFC Outdoor Performance List,Men
33,"Abdo, Nick",SR-4,Fredonia,11.02,Bison Outdoor Classic,"Apr 14, 2023",-0.1,100 Meters,AARTFC Outdoor Performance List,Men
33,"Sands, Cameron",FR-1,Oneonta,11.02,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.2,100 Meters,AARTFC Outdoor Performance List,Men
36,"Florczak, Nicholas",FR-1,Alfred State,11.06,Brockport Multi & Invitational,"Apr 14, 2023",0.5,100 Meters,AARTFC Outdoor Performance List,Men
36,"Harmsen, Joshua",SR-4,Hamilton,11.06,RPI Under the Lights Invite 2023,"Apr 14, 2023",1.8,100 Meters,AARTFC Outdoor Performance List,Men
36,"Williams, Jordan",FR-1,Plattsburgh St.,11.06,Saints Ice Broken Open,"Apr 1, 2023",3.7,100 Meters,AARTFC Outdoor Performance List,Men
39,"Lodge, Andrew",SR-4,TCNJ,11.07,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",1.2,100 Meters,AARTFC Outdoor Performance List,Men
40,"Elmogi, Ahmed",SO-2,Johns Hopkins,11.08,2023 Towson Spring Open,"Mar 31, 2023",0.6,100 Meters,AARTFC Outdoor Performance List,Men
40,"Morse, Brett",SR-4,Cortland St.,11.08,Cortland Red Dragon Open,"Apr 8, 2023",0.4,100 Meters,AARTFC Outdoor Performance List,Men
42,"Dunbar, Kyle",JR-3,DeSales,11.09,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.9,100 Meters,AARTFC Outdoor Performance List,Men
42,"Winn, Jacob",FR-1,Fredonia,11.09,Bison Outdoor Classic,"Apr 14, 2023",0.7,100 Meters,AARTFC Outdoor Performance List,Men
44,"Knowles, Samuel",SO-2,Widener,11.10,WCU Bill Butler Invitational,"Apr 15, 2023",-1.0,100 Meters,AARTFC Outdoor Performance List,Men
44,"Engler, Jason",SR-4,TCNJ,11.10,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.2,100 Meters,AARTFC Outdoor Performance List,Men
1,"Dwah, Gbarper",SO-2,Ramapo,12.03,Ramapo College Track & Field Invitational,"Mar 31, 2023",0.1,100 Meters,AARTFC Outdoor Performance List,Women
2,"Mathews, Laura",JR-3,Stevens,12.13,Vassar April Invitational 2023,"Apr 7, 2023",0.6,100 Meters,AARTFC Outdoor Performance List,Women
3,"Phillips, Lauren",SO-2,Johns Hopkins,12.14,2023 Towson Spring Open,"Mar 31, 2023",0.1,100 Meters,AARTFC Outdoor Performance List,Women
4,"Gore, Jayla",FR-1,Widener,12.16,WCU Golden Ram Invitational,"Apr 8, 2023",+0.0,100 Meters,AARTFC Outdoor Performance List,Women
5,"O'Connell, Madeline",SR-4,Rochester,12.23,Geneseo Early Season Invitational,"Apr 2, 2023",2.6,100 Meters,AARTFC Outdoor Performance List,Women
6,"Riggins, Valandra",SR-4,TCNJ,12.24,2023 TCNJ Invitational,"Apr 8, 2023",2.0,100 Meters,AARTFC Outdoor Performance List,Women
7,"Muzzarelli, Maria",SO-2,Widener,12.25,WCU Golden Ram Invitational,"Apr 8, 2023",+0.0,100 Meters,AARTFC Outdoor Performance List,Women
8,"Bansbach, Susan",SR-4,Rochester,12.31,Geneseo Early Season Invitational,"Apr 2, 2023",2.6,100 Meters,AARTFC Outdoor Performance List,Women
9,"Rudolph, Emma",SR-4,Westminster (Pa.),12.39,Alan Connie Shamrock Invitational,"Mar 16, 2023",2.9,100 Meters,AARTFC Outdoor Performance List,Women
10,"Pittman, Autumn",SO-2,Cortland St.,12.41,Bison Outdoor Classic,"Apr 14, 2023",1.5,100 Meters,AARTFC Outdoor Performance List,Women
11,"Giordani, Samantha",SR-4,Carnegie Mellon,12.42,2023 Carnegie Mellon Last Chance Meet,"Apr 13, 2023",-1.4,100 Meters,AARTFC Outdoor Performance List,Women
12,"Laster, Khia",SO-2,Buffalo State,12.43,Vertklasse,"Mar 31, 2023",5.6,100 Meters,AARTFC Outdoor Performance List,Women
13,"Davis, Helen",SR-4,Moravian,12.44,Lehigh Games 2023,"Apr 7, 2023",1.8,100 Meters,AARTFC Outdoor Performance List,Women
13,"Shepardson, Gwen",SR-4,SUNY Geneseo,12.44,Geneseo Early Season Invitational,"Apr 2, 2023",2.6,100 Meters,AARTFC Outdoor Performance List,Women
15,"Conerly, Isre'al",SR-4,NYU,12.45,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",2.8,100 Meters,AARTFC Outdoor Performance List,Women
15,"Francis, Traci",SO-2,Vassar,12.45,Alan Connie Shamrock Invitational,"Mar 16, 2023",3.8,100 Meters,AARTFC Outdoor Performance List,Women
17,"Andersen, Gwendolyn",JR-3,Springfield,12.47,SILFEN INVITATIONAL 2023,"Apr 14, 2023",0.6,100 Meters,AARTFC Outdoor Performance List,Women
18,"Fatigati, Jessica",JR-3,Westminster (Pa.),12.48,Bethany Invitational,"Mar 25, 2023",2.6,100 Meters,AARTFC Outdoor Performance List,Women
19,"Lettsome, Zhane",FR-1,St. John Fisher,12.49,Geneseo Early Season Invitational,"Apr 2, 2023",2.6,100 Meters,AARTFC Outdoor Performance List,Women
19,"Reid, Summer",SO-2,NYU,12.49,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",2.8,100 Meters,AARTFC Outdoor Performance List,Women
21,"Diffenderfer, Alyssa",JR,Lebanon Valley,12.51,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.6,100 Meters,AARTFC Outdoor Performance List,Women
22,"Franz, Ciarra",SO-2,St. John Fisher,12.53,Utica Pioneer Spring Invite,"Apr 7, 2023",+0.0,100 Meters,AARTFC Outdoor Performance List,Women
22,"Koutsourades, Kate",JR-3,SUNY Geneseo,12.53,Geneseo Early Season Invitational,"Apr 2, 2023",2.6,100 Meters,AARTFC Outdoor Performance List,Women
24,"Johnson, Brenna",SR-4,Nazareth,12.54,RIT Invitational,"Apr 8, 2023",+0.0,100 Meters,AARTFC Outdoor Performance List,Women
24,"Kurbs, Michaela",JR-3,St. John Fisher,12.54,Geneseo Early Season Invitational,"Apr 2, 2023",2.6,100 Meters,AARTFC Outdoor Performance List,Women
26,"Morrison, Ashanae",SO-2,Stockton,12.55,Osprey Open and Multi,"Apr 7, 2023",NWI,100 Meters,AARTFC Outdoor Performance List,Women
26,"Levine, Sarah",SR-4,Brockport St.,12.55,Geneseo Early Season Invitational,"Apr 2, 2023",2.6,100 Meters,AARTFC Outdoor Performance List,Women
28,"Yoder, Chloe",JR-3,Susquehanna,12.56,2023 Susquehanna Easter Invite,"Apr 8, 2023",-0.1,100 Meters,AARTFC Outdoor Performance List,Women
29,"Isaac, Kate",JR-3,Rochester,12.59,Duke Invitational,"Apr 6, 2023",1.5,100 Meters,AARTFC Outdoor Performance List,Women
30,"Vezzosi, Emma",SR-4,Grove City,12.61,Dave Labor Invitational,"Mar 31, 2023",2.8,100 Meters,AARTFC Outdoor Performance List,Women
31,"Brown, Stephanie",JR-3,Springfield,12.64,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.0,100 Meters,AARTFC Outdoor Performance List,Women
32,"Kadiri, Victoria",SO-2,Johns Hopkins,12.65,Bison Outdoor Classic,"Apr 14, 2023",0.4,100 Meters,AARTFC Outdoor Performance List,Women
32,"MacLure, Ashlyn",SR-4,TCNJ,12.65,2023 95th Clyde Littlefield Texas Relays,"Mar 29, 2023",3.1,100 Meters,AARTFC Outdoor Performance List,Women
1,"Traore, Cheickna",SR-4,Ramapo,20.49,Hurricane Invitational,"Mar 17, 2023",1.8,200 Meters,AARTFC Outdoor Performance List,Men
2,"Jensen, Lance",SO-2,SUNY Geneseo,21.35,Geneseo Early Season Invitational,"Apr 2, 2023",-0.7,200 Meters,AARTFC Outdoor Performance List,Men
3,"Beasley, Jah'mere",SO-2,Rowan,21.39,2023 Danny Curran Invitational,"Mar 30, 2023",-0.8,200 Meters,AARTFC Outdoor Performance List,Men
4,"Etienne, Dave",SR-4,New Jersey City,21.47,Dennis Craddock Coaches Classic,"Apr 14, 2023",2.3,200 Meters,AARTFC Outdoor Performance List,Men
5,"Summers, Cameron",SR-4,Stevenson,21.67,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.1,200 Meters,AARTFC Outdoor Performance List,Men
6,"Davis, Deron",FR-1,SUNY Delhi,21.76,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.3,200 Meters,AARTFC Outdoor Performance List,Men
7,"Jeffes, Josh",SO-2,SUNY Delhi,21.80,Bison Outdoor Classic,"Apr 14, 2023",1.1,200 Meters,AARTFC Outdoor Performance List,Men
8,"Conte, Amara",SO-2,Rowan,21.84,Oscar Moore Invitational 2023,"Apr 8, 2023",+0.0,200 Meters,AARTFC Outdoor Performance List,Men
9,"Beard, Ryan",SR-4,Westminster (Pa.),21.88,Grove City College Mini Invita,"Apr 5, 2023",+0.0,200 Meters,AARTFC Outdoor Performance List,Men
9,"Halkias, Alexander",SR-4,Carnegie Mellon,21.88,Westminster Invitational 2023,"Apr 8, 2023",-0.1,200 Meters,AARTFC Outdoor Performance List,Men
11,"Frank, Andy",SR-4,Ithaca,21.89,Muhlenberg Outdoor Invitational,"Apr 1, 2023",0.7,200 Meters,AARTFC Outdoor Performance List,Men
12,"Jones, Aaron",SR-4,Cortland St.,21.90,Bison Outdoor Classic,"Apr 14, 2023",1.1,200 Meters,AARTFC Outdoor Performance List,Men
13,"Wilson, Vajon",JR-3,DeSales,21.95,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.1,200 Meters,AARTFC Outdoor Performance List,Men
14,"Corcoran, Evan",FR-1,Rowan,21.96,2023 Danny Curran Invitational,"Mar 30, 2023",-0.8,200 Meters,AARTFC Outdoor Performance List,Men
15,"Jantzi, Justin",JR-3,RIT,21.98,Bison Outdoor Classic,"Apr 14, 2023",1.6,200 Meters,AARTFC Outdoor Performance List,Men
16,"Scott, Michael",SO-2,Springfield,21.99,Springfield College Classic,"Apr 8, 2023",2.0,200 Meters,AARTFC Outdoor Performance List,Men
16,"Agyemang, Nana",SO-2,Rowan,21.99,Oscar Moore Invitational 2023,"Apr 8, 2023",+0.0,200 Meters,AARTFC Outdoor Performance List,Men
18,"Goring, Coltrane",SR-4,Cortland St.,22.01,2023 Danny Curran Invitational,"Mar 30, 2023",-0.8,200 Meters,AARTFC Outdoor Performance List,Men
19,"Weber, Evan",JR-3,Springfield,22.02,Springfield College Classic,"Apr 8, 2023",2.0,200 Meters,AARTFC Outdoor Performance List,Men
20,"Lodge, Andrew",SR-4,TCNJ,22.03,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",4.5,200 Meters,AARTFC Outdoor Performance List,Men
21,"Regan, Seth",JR-3,Springfield,22.04,SILFEN INVITATIONAL 2023,"Apr 14, 2023",1.7,200 Meters,AARTFC Outdoor Performance List,Men
21,"Hadasz, Andrew",JR-3,Utica,22.04,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.3,200 Meters,AARTFC Outdoor Performance List,Men
23,"Latham, Carson",SO-2,Stockton,22.08,Osprey Open and Multi,"Apr 7, 2023",2.6,200 Meters,AARTFC Outdoor Performance List,Men
24,"Holland, Myron",JR-3,Elizabethtown,22.09,40th Millersville Metrics,"Mar 31, 2023",4.1,200 Meters,AARTFC Outdoor Performance List,Men
25,"Morse, Brett",SR-4,Cortland St.,22.11,Bison Outdoor Classic,"Apr 14, 2023",+0.0,200 Meters,AARTFC Outdoor Performance List,Men
26,"Cypress, Charles",FR-1,Plattsburgh St.,22.15,Penmen Relays,"Apr 15, 2023",1.7,200 Meters,AARTFC Outdoor Performance List,Men
26,"Dunbar, Kyle",JR-3,DeSales,22.15,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.1,200 Meters,AARTFC Outdoor Performance List,Men
26,"Mins, Jamel",SO-2,Hood,22.15,Bison Outdoor Classic,"Apr 14, 2023",0.9,200 Meters,AARTFC Outdoor Performance List,Men
29,"Agyemang, Jason",FR-1,Rowan,22.22,2023 Danny Curran Invitational,"Mar 30, 2023",0.1,200 Meters,AARTFC Outdoor Performance List,Men
30,"Davis, Elliott",SO-2,Susquehanna,22.23,2023 Danny Curran Invitational,"Mar 30, 2023",+0.0,200 Meters,AARTFC Outdoor Performance List,Men
31,"Love, Shamar",SO-2,Rowan,22.25,2023 Danny Curran Invitational,"Mar 30, 2023",0.1,200 Meters,AARTFC Outdoor Performance List,Men
31,"McKinney, Robert",SO-2,Rowan,22.25,2023 Danny Curran Invitational,"Mar 30, 2023",0.1,200 Meters,AARTFC Outdoor Performance List,Men
33,"Knowles, Samuel",SO-2,Widener,22.30,WCU Golden Ram Invitational,"Apr 8, 2023",+0.0,200 Meters,AARTFC Outdoor Performance List,Men
33,"Spicer, Alex",FR,Alfred,22.30,2023 Messiah Multi/Invitational,"Apr 13, 2023",1.2,200 Meters,AARTFC Outdoor Performance List,Men
33,"Welch, Mike",SR-4,Nazareth,22.30,Brockport Multi & Invitational,"Apr 14, 2023",2.7,200 Meters,AARTFC Outdoor Performance List,Men
36,"Kent, Andrew",FR-1,SUNY Geneseo,22.31,RIT Invitational,"Apr 8, 2023",0.7,200 Meters,AARTFC Outdoor Performance List,Men
36,"Young, Marquise",JR-3,Rowan,22.31,2023 Danny Curran Invitational,"Mar 30, 2023",0.1,200 Meters,AARTFC Outdoor Performance List,Men
38,"Say, Conrad",JR-3,Johns Hopkins,22.32,Bison Outdoor Classic,"Apr 14, 2023",+0.0,200 Meters,AARTFC Outdoor Performance List,Men
38,"Gomez, Justin",JR-3,TCNJ,22.32,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",2.3,200 Meters,AARTFC Outdoor Performance List,Men
40,"Czerwinski, Thomas",SR-4,Springfield,22.34,Springfield College Classic,"Apr 8, 2023",2.0,200 Meters,AARTFC Outdoor Performance List,Men
41,"Jensen, Evan",SO-2,Cortland St.,22.40,2023 Danny Curran Invitational,"Mar 30, 2023",0.1,200 Meters,AARTFC Outdoor Performance List,Men
1,"Mathews, Laura",JR-3,Stevens,24.68,2023 Danny Curran Invitational,"Mar 30, 2023",-1.1,200 Meters,AARTFC Outdoor Performance List,Women
2,"Broadway, Jasmine",SO-2,Rowan,24.85,2023 Danny Curran Invitational,"Mar 30, 2023",-1.1,200 Meters,AARTFC Outdoor Performance List,Women
3,"Giordani, Samantha",SR-4,Carnegie Mellon,24.88,2023 Carnegie Mellon Last Chance Meet,"Apr 13, 2023",-1.7,200 Meters,AARTFC Outdoor Performance List,Women
4,"Bansbach, Susan",SR-4,Rochester,24.90,Brockport Multi & Invitational,"Apr 14, 2023",1.8,200 Meters,AARTFC Outdoor Performance List,Women
5,"Phillips, Lauren",SO-2,Johns Hopkins,25.00,Bison Outdoor Classic,"Apr 14, 2023",1.3,200 Meters,AARTFC Outdoor Performance List,Women
6,"Heffernan, Ashley",JR-3,Rochester,25.13,Brockport Multi & Invitational,"Apr 14, 2023",2.0,200 Meters,AARTFC Outdoor Performance List,Women
7,"Dwah, Gbarper",SO-2,Ramapo,25.16,Mets Outdoor Track & Field Championships,"Apr 8, 2023",-1.6,200 Meters,AARTFC Outdoor Performance List,Women
8,"Hardy, Kristin",SR-4,Rochester,25.17,Brockport Multi & Invitational,"Apr 14, 2023",1.8,200 Meters,AARTFC Outdoor Performance List,Women
9,"Barber, Janyll",SR-4,Plattsburgh St.,25.19,Saints Ice Broken Open,"Apr 1, 2023",5.4,200 Meters,AARTFC Outdoor Performance List,Women
10,"Sawyer, Natalia",FR-1,Buffalo State,25.25,University at Buffalo Spring Opener,"Apr 8, 2023",0.9,200 Meters,AARTFC Outdoor Performance List,Women
11,"Bruncaj, Eliza",SO-2,TCNJ,25.33,2023 Messiah Multi/Invitational,"Apr 13, 2023",0.6,200 Meters,AARTFC Outdoor Performance List,Women
12,"Robinson, Crystal",SR-4,Moravian,25.38,Muhlenberg Outdoor Invitational,"Apr 1, 2023",1.1,200 Meters,AARTFC Outdoor Performance List,Women
13,"Barre, Elizabeth",SR-4,Carnegie Mellon,25.47,2023 Susquehanna Easter Invite,"Apr 8, 2023",1.1,200 Meters,AARTFC Outdoor Performance List,Women
14,"Shepardson, Gwen",SR-4,SUNY Geneseo,25.49,Geneseo Early Season Invitational,"Apr 2, 2023",-0.3,200 Meters,AARTFC Outdoor Performance List,Women
15,"Conerly, Isre'al",SR-4,NYU,25.50,27th Annual Monmouth University Track & Field Season Opener,"Mar 24, 2023",-0.1,200 Meters,AARTFC Outdoor Performance List,Women
16,"Fackrell, Sydney",SR-4,Springfield,25.55,AIC Yellowjacket Invitational,"Apr 1, 2023",-0.1,200 Meters,AARTFC Outdoor Performance List,Women
17,"Koutsourades, Kate",JR-3,SUNY Geneseo,25.57,Brockport Multi & Invitational,"Apr 14, 2023",1.8,200 Meters,AARTFC Outdoor Performance List,Women
18,"Pittman, Autumn",SO-2,Cortland St.,25.65,Bison Outdoor Classic,"Apr 14, 2023",+0.0,200 Meters,AARTFC Outdoor Performance List,Women
18,"Giamoni, Abby",SO-2,Moravian,25.65,Muhlenberg Outdoor Invitational,"Apr 1, 2023",1.1,200 Meters,AARTFC Outdoor Performance List,Women
20,"Bruce, Logan",SR-4,Ithaca,25.67,Bison Outdoor Classic,"Apr 14, 2023",-0.4,200 Meters,AARTFC Outdoor Performance List,Women
21,"Pynn, Sam",SO-2,SUNY Geneseo,25.68,Brockport Multi & Invitational,"Apr 14, 2023",1.8,200 Meters,AARTFC Outdoor Performance List,Women
22,"Shea, Samantha",SR-4,St. John Fisher,25.69,Bison Outdoor Classic,"Apr 14, 2023",0.3,200 Meters,AARTFC Outdoor Performance List,Women
23,"Isaac, Kate",JR-3,Rochester,25.76,Geneseo Early Season Invitational,"Apr 2, 2023",-0.3,200 Meters,AARTFC Outdoor Performance List,Women
24,"Krempa, Alayna",SO-2,Susquehanna,25.77,2023 Susquehanna Easter Invite,"Apr 8, 2023",1.2,200 Meters,AARTFC Outdoor Performance List,Women
25,"Mix, Mackenzie",SO-2,Utica,25.83,2023 Hamilton College Continental Invitational,"Apr 1, 2023",1.1,200 Meters,AARTFC Outdoor Performance List,Women
25,"Gonzalez, Noelle",SR-4,Scranton,25.83,Muhlenberg Outdoor Invitational,"Apr 1, 2023",1.1,200 Meters,AARTFC Outdoor Performance List,Women
27,"Davis, Helen",SR-4,Moravian,25.85,Lehigh Games 2023,"Apr 7, 2023",0.5,200 Meters,AARTFC Outdoor Performance List,Women
28,"Muzzarelli, Maria",SO-2,Widener,25.86,WCU Golden Ram Invitational,"Apr 8, 2023",+0.0,200 Meters,AARTFC Outdoor Performance List,Women
29,"Yoder, Chloe",JR-3,Susquehanna,25.89,2023 Susquehanna Easter Invite,"Apr 8, 2023",1.1,200 Meters,AARTFC Outdoor Performance List,Women
30,"Igwe, Chidimma",JR-3,Rutgers-Newark,25.90,2023 TCNJ Invitational,"Apr 8, 2023",0.6,200 Meters,AARTFC Outdoor Performance List,Women
31,"Lettsome, Zhane",FR-1,St. John Fisher,25.92,Bison Outdoor Classic,"Apr 14, 2023",1.6,200 Meters,AARTFC Outdoor Performance List,Women
32,"Klimow, Julianna",SO-2,SUNY Geneseo,25.97,Brockport Multi & Invitational,"Apr 14, 2023",1.8,200 Meters,AARTFC Outdoor Performance List,Women
33,"Lorjuste, Nevaeh",SO-2,Rowan,25.99,2023 Danny Curran Invitational,"Mar 30, 2023",-1.1,200 Meters,AARTFC Outdoor Performance List,Women
1,"Jeffes, Josh",SO-2,SUNY Delhi,47.57,Bison Outdoor Classic,"Apr 14, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
2,"Sheridan, Kieran",SR-4,SUNY Geneseo,47.65,Brockport Multi & Invitational,"Apr 14, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
3,"Beasley, Jah'mere",SO-2,Rowan,47.86,2023 Danny Curran Invitational,"Mar 30, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
4,"Conte, Amara",SO-2,Rowan,47.97,Oscar Moore Invitational 2023,"Apr 8, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
5,"Etienne, Dave",SR-4,New Jersey City,48.18,Dennis Craddock Coaches Classic,"Apr 14, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
5,"Knowles, Samuel",SO-2,Widener,48.18,WCU Golden Ram Invitational,"Apr 8, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
7,"Miller, Jacob",FR-1,SUNY Geneseo,48.23,Brockport Multi & Invitational,"Apr 14, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
8,"Goring, Coltrane",SR-4,Cortland St.,48.25,Bison Outdoor Classic,"Apr 14, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
9,"Davis, Elliott",SO-2,Susquehanna,48.28,WCU Bill Butler Invitational,"Apr 15, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
10,"Rappazzo, Jason",JR-3,SUNY Geneseo,48.65,Brockport Multi & Invitational,"Apr 14, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
11,"Mitchell, Alexander",FR-1,Grove City,48.70,Tomcat Invitational,"Apr 15, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
12,"Agyemang, Nana",SO-2,Rowan,48.73,Oscar Moore Invitational 2023,"Apr 8, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
13,"Lyons, Luke",SR-4,Rochester,48.97,Brockport Multi & Invitational,"Apr 14, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
14,"Tabor, Daniel",JR-3,Ursinus,49.18,Muhlenberg Outdoor Invitational,"Apr 1, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
14,"Jensen, Evan",SO-2,Cortland St.,49.18,Cortland Red Dragon Open,"Apr 8, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
16,"Durski, Michael",FR-1,Brockport St.,49.30,Bison Outdoor Classic,"Apr 14, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
17,"Jantzi, Justin",JR-3,RIT,49.33,RIT Invitational,"Apr 8, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
18,"Gavalas, Harrison",FR-1,Cortland St.,49.35,Cortland Red Dragon Open,"Apr 8, 2023",NaN,400 Meters,AARTFC Outdoor Performance List,Men
